#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1557999874.3235762	normal	1	nan	nan	80.0	80.1	1313.557	81.21790606593095	1315.262	81.65477264703941	1315.138	81.62828628462694	1312.713	80.99162885991154	1313.735	81.26117057345937	1085.558	21.96171984889679	1086.14	22.11857978152966	1086.743	22.27081049170056	1085.673	21.99417302470647	1086.156	22.117291903208297
1557999900.6511607	normal	1	nan	nan	80.0	80.1	1313.451	81.18801455704352	1315.046	81.60442251715267	1315.022	81.59550642871909	1312.654	80.9756353479006	1313.54	81.211613094099	1085.643	21.989794403250926	1086.237	22.138155593052943	1086.788	22.281886769706034	1085.752	22.016066217938715	1086.254	22.144595029773882
1557999916.4734683	normal	1	nan	nan	80.0	80.1	1313.66	81.24202923624443	1315.194	81.64323400746844	1315.357	81.68440615702912	1312.892	81.04065863580627	1314.336	81.41981197400446	1085.706	22.001384884301388	1086.267	22.153352683604226	1086.838	22.293993441100156	1085.786	22.026884083946243	1086.315	22.165458889882302
1557999932.0430307	normal	1	nan	nan	80.0	80.1	1313.802	81.27218344813218	1315.215	81.6529369516702	1315.373	81.68702860441226	1313.028	81.07421954577785	1314.354	81.42164753915631	1085.764	22.01555108233424	1086.329	22.164428572748875	1086.892	22.30893364917074	1085.85	22.037444415454047	1086.389	22.179883363065073
1557999947.4360998	normal	1	nan	nan	80.0	80.1	1313.725	81.2530420467765	1315.118	81.62251700627758	1315.253	81.6571328283062	1312.956	81.05507929732084	1314.052	81.34219472869427	1085.814	22.027656790000037	1086.383	22.178080300516285	1086.966	22.32670743187782	1085.885	22.049550202334103	1086.45	22.194307898437728
1557999962.8269663	normal	1	nan	nan	80.0	80.1	1313.651	81.23966935307453	1315.069	81.60888057044122	1315.261	81.6615909531024	1312.934	81.0503598011328	1314.076	81.35189678411007	1085.865	22.043883658341656	1086.428	22.188383528169652	1087.011	22.344223715916996	1085.939	22.059595462998004	1086.508	22.210020409523167
1557999978.2236903	normal	1	nan	nan	80.0	80.1	1313.61	81.22708333811806	1315.001	81.5868526013146	1315.151	81.63326885135302	1312.869	81.03043311416195	1313.853	81.28739176430054	1085.901	22.053671331265832	1086.47	22.20100502528703	1087.058	22.352466704846393	1085.993	22.07324676301232	1086.56	22.22521782651438
1557999993.9666758	normal	1	nan	nan	80.0	80.1	1313.639	81.23337633957135	1314.981	81.58423023387286	1315.212	81.64795435512315	1312.962	81.0532439368867	1314.051	81.34717686168187	1085.953	22.06706503535088	1086.523	22.21156590640294	1087.12	22.36714957918548	1086.033	22.085352679435346	1086.618	22.237839462592547
1558000009.3620923	normal	1	nan	nan	80.0	80.1	1313.624	81.22996762895536	1314.935	81.57478972841	1315.177	81.64375849020644	1312.932	81.05612807517173	1313.963	81.31020437050893	1086.102	22.103640423479646	1086.636	22.233460522232235	1087.349	22.44004971655977	1086.245	22.14098894368317	1086.849	22.295281387443993
1558000024.9322174	normal	1	nan	nan	80.0	80.1	1304.535	78.80360036833872	1303.227	78.46928629928289	1307.573	79.6321959728698	1299.041	77.40264285336889	1269.667	70.07332071330575	1110.089	28.29011928255295	1111.276	28.826651909187603	1126.884	32.893580180096706	1116.24	29.98672420955927	1099.576	25.65180845123905
1558000040.326119	normal	1	nan	nan	80.0	79.3	1306.151	79.27840570613262	1308.724	79.94880501843181	1310.003	80.28615300447336	1303.658	78.63041305456682	1303.67	78.63041305456682	1135.82	34.9834631167937	1169.438	43.775578943073015	1193.819	50.078052866162125	1158.202	40.83305347883743	1137.08	35.355824668994046
1558000056.0682452	normal	1	nan	nan	80.0	78.8	1307.364	79.58816666591656	1309.516	80.16190426494768	1309.958	80.27252211174618	1305.319	79.05724060754483	1305.515	79.10440727180185	1165.497	42.710993714609685	1206.592	53.37197324470344	1229.406	59.2975728072297	1193.224	49.90168976820178	1168.094	43.36235393556626
1558000071.8141632	normal	1	nan	nan	80.0	78.5	1308.152	79.79914578434136	1309.926	80.26125045468143	1310.189	80.33228875307213	1306.328	79.32138264079958	1307.038	79.51242715414492	1191.684	49.477573598339404	1231.533	59.838874119004686	1251.111	64.93556515741102	1218.641	56.49297675456819	1194.345	50.159354476236786
1558000087.3733742	normal	1	nan	nan	80.0	78.5	1309.09	80.04604785668744	1310.474	80.40962001110302	1310.851	80.50556572761525	1307.415	79.6065121388333	1309.136	80.06570646188857	1214.271	55.33376783267704	1249.896	64.60578531566534	1266.313	68.88739660311921	1237.828	61.46982579625546	1216.95	56.03392833520229
1558000103.125957	normal	1	nan	nan	80.0	78.7	1310.052	80.29454127424333	1311.063	80.56612307215073	1311.534	80.68645461293318	1308.247	79.82247225710535	1310.676	80.45837895971545	1232.157	59.98268031074531	1263.595	68.17301714596852	1277.567	71.82176234774033	1252.409	65.25102621379074	1234.251	60.541030636950836
1558000118.6928422	normal	1	nan	nan	80.0	78.9	1310.69	80.45890325341543	1311.464	80.66207335667968	1311.939	80.78948707973814	1308.821	79.97763682685263	1311.464	80.67255989634577	1247.236	63.90902495006003	1274.102	70.91279155384518	1285.48	73.8753853877156	1263.912	68.25032460697685	1248.869	64.33968950871667
1558000134.2555375	normal	1	nan	nan	80.0	79.1	1311.304	80.6266815322856	1311.925	80.78974925298371	1312.449	80.91952757690206	1309.466	80.14407993639861	1312.59	80.9596419137124	1259.419	67.0788929132309	1282.201	73.02600526025071	1291.889	75.55229193908099	1273.049	70.63337980188635	1260.482	67.34677619633385
1558000149.8282611	normal	1	nan	nan	80.0	79.2	1311.868	80.77218369173261	1312.49	80.93185022957778	1312.905	81.04275618263955	1310.04	80.28825006990974	1312.869	81.03410381057893	1269.289	69.65418799447798	1288.641	74.70588124823371	1296.706	76.81000887515029	1280.423	72.54843956362174	1270.498	69.98081427304305
1558000165.4016953	normal	1	nan	nan	80.0	79.4	1312.354	80.89960168309017	1312.942	81.0516707716165	1313.212	81.12639695354756	1310.407	80.38471652603994	1312.938	81.06373172459962	1277.55	71.80372166283087	1293.957	76.07846391159728	1300.538	77.80704652244776	1286.383	74.1134708541149	1278.159	71.96609138202166
