#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1552055181.727009	normal	1	nan	nan	80.0	80.8	1316.878	82.08277990270108	1316.23	81.8994537930812	1313.322	81.14737302930234	9999999000.0	9999	1318.972	82.62731089079034	1083.374	21.40362599020682	1084.219	21.618147595464507	1083.869	21.535736708570766	1088.286	22.63763510832041	1085.43	21.92643381652306
1552055197.2803555	normal	1	nan	nan	80.0	80.8	1317.179	82.17457793521362	1316.676	82.02744004219858	1313.762	81.26510373874862	9999999000.0	9999	1319.299	82.72122275807214	1083.531	21.44122422120654	1084.156	21.610936561834933	1083.999	21.563550155995017	1086.171	22.106988894483948	1085.61	21.95270513370224
1552055212.6805675	normal	1	nan	nan	80.0	80.8	1317.122	82.15385758375896	1316.329	81.93774423843752	1313.614	81.2320652966082	9999999000.0	9999	1319.005	82.64882119319009	1083.649	21.476505137215554	1084.258	21.630251865420632	1084.097	21.588273414450214	1085.383	21.91716163617957	1085.534	21.955023201004224
1552055228.0732083	normal	1	nan	nan	80.0	80.7	1316.825	82.07071520911404	1315.551	81.73869124457588	1312.933	81.06110977453363	9999999000.0	9999	1318.528	82.51687606815585	1083.754	21.49736483187735	1084.293	21.636947863355545	1084.196	21.614799613632385	1084.111	21.588788484277302	1085.406	21.925146012160894
1552055243.4686089	normal	1	nan	nan	80.0	80.7	1316.838	82.07858348251602	1315.89	81.80871246448123	1313.289	81.14291560200263	9999999000.0	9999	1318.895	82.61340796539344	1083.871	21.536251770311083	1084.196	21.616087298556067	1084.194	21.611194098482883	1083.644	21.47444492751447	1085.315	21.90402609134526
1552055258.8616233	normal	1	nan	nan	80.0	80.7	1316.581	81.99990159636445	1314.565	81.4594079640392	1312.347	80.89802859135489	9999999000.0	9999	1318.188	82.42349464926201	1083.993	21.557884434992047	1084.059	21.577199432348607	1084.196	21.614799613632385	1083.094	21.325598132800224	1085.273	21.89320862255454
1552055274.4316397	normal	1	nan	nan	80.0	80.8	1316.043	81.84542830717419	1313.535	81.19404527817323	1311.442	80.66417066193662	9999999000.0	9999	1317.294	82.1903149983109	1084.066	21.581062445198768	1084.04	21.573336423958153	1084.235	21.623040805706296	1083.032	21.314782533758716	1085.242	21.883678976643296
1552055290.0005085	normal	1	nan	nan	80.0	80.7	1315.367	81.69568269562478	1313.07	81.07605491792447	1311.035	80.56219074318278	9999999000.0	9999	1316.753	82.0413404882247	1084.138	21.595999470178413	1083.92	21.54449276893729	1084.231	21.622010655587474	1082.29	21.124742710789178	1085.199	21.87286157363542
1552055305.3867824	normal	1	nan	nan	80.0	80.6	1314.948	81.57400302084534	1312.4	80.91611919176512	1310.472	80.4001828787741	9999999000.0	9999	1315.928	81.83310222852606	1084.223	21.601407719801955	1083.966	21.5524762557111	1084.274	21.639523250744332	1082.195	21.108520298992516	1085.122	21.84813621236981
1552055320.9528506	normal	1	nan	nan	80.0	80.6	1314.446	81.44603443060669	1311.959	80.79997402589015	1310.18	80.33700721840114	9999999000.0	9999	1315.565	81.74026473874801	1084.241	21.628706637030973	1083.847	21.521830071550085	1084.296	21.639265711916778	1081.636	20.955827482592213	1084.944	21.80023134484918
